instance,zone,busy,model,power_status,type,update_time,time_remaining
instance-01,asia-northeast1-c,false,,false,,2021-09-10 21:24:53.047587 UTC,
instance-02,us-west4-a,false,,false,,2021-09-10 21:07:06.543606 UTC,
instance-04,us-east1-c,false,,false,,2021-09-12 13:40:20.934024 UTC,4980/5000
instance-05,europe-west1-b,false,,false,,2021-09-05 23:57:11.317127 UTC,
instance-06,asia-south1-b,false,,false,,2021-09-11 13:38:55.361841 UTC,
instance-07,us-central1-a,false,,false,,2021-09-11 08:25:40.415234 UTC,
instance-08,asia-northeast1-c,false,,false,,2021-08-31 14:12:51.99996 UTC,
instance-09,asia-northeast3-b,false,,false,,2021-08-19 20:56:01.476051 UTC,
instance-11,us-central1-c,false,,,,2021-09-12 14:24:25.019438 UTC,
instance-16,asia-east1-a,false,,,,2021-09-13 11:14:34.15955 UTC,
instance-18,asia-south1-b,false,,,,2021-09-13 11:28:59.464827 UTC,4501/5000
instance-19,asia-southeast1-b,false,,,,2021-09-13 11:26:07.535201 UTC,
instance-24,us-east1-c,false,,,,2021-09-12 13:25:07.837697 UTC,
instance-25,asia-northeast1-c,false,,,,2021-09-12 14:33:04.543659 UTC,
instance-26,us-west1-b,false,,,,2021-09-12 13:50:11.632524 UTC,5000/5000
instance-27,asia-east1-a,false,,,,2021-09-10 20:46:04.032882 UTC,
instance-28,europe-west2-a,false,,,,2021-09-10 20:54:09.647258 UTC,
instance-30,europe-west4-b,false,,,,2021-08-31 12:07:10.21923 UTC,
instance-31,asia-east1-a,false,,,,2021-09-10 21:08:36.634928 UTC,
instance-32,asia-northeast1-a,false,,,,2021-09-12 13:37:52.872855 UTC,
instance-33,asia-northeast3-b,false,,,,2021-09-12 13:55:08.602634 UTC,
instance-34,australia-southeast1-c,false,,,,2021-09-12 14:01:03.511316 UTC,
instance-35,asia-south1-b,false,,,,2021-09-12 13:56:21.295694 UTC,
instance-37,asia-southeast1-b,false,,,,2021-09-10 20:39:45.882182 UTC,
instance-38,asia-southeast1-b,false,,,,2021-09-03 00:44:50.12704 UTC,
instance-40,asia-southeast1-b,false,,,,2021-09-03 00:41:59.968311 UTC,
instance-41,asia-east1-a,false,,,,2021-09-03 00:40:28.914401 UTC,
instance-42,asia-northeast1-c,false,,,,2021-09-03 01:08:54.601389 UTC,
instance-43,us-west4-a,false,,,,2021-09-03 01:19:12.359996 UTC,
instance-44,us-east1-d,false,,,,2021-08-31 13:10:17.520088 UTC,
instance-45,us-west1-a,false,,,,2021-09-03 01:39:41.839525 UTC,
instance-46,us-east1-c,false,,,,2021-08-25 19:09:22.965867 UTC,
instance-47,us-east4-b,false,,,,2021-08-26 13:01:04.360876 UTC,
instance-48,us-east1-d,false,,,,2021-08-25 17:23:19.201793 UTC,
instance-49,us-west1-b,false,,,,2021-08-25 17:18:32.924355 UTC,
instance-50,us-east4-b,false,,,,2021-08-26 13:58:22.037914 UTC,
instance-61,asia-southeast1-b,false,,,,2021-09-12 20:39:03.741917 UTC,
instance-62,us-east4-c,false,,,,2021-09-12 20:00:46.844327 UTC,
instance-63,australia-southeast1-b,false,,,,2021-09-03 12:14:10.428703 UTC,
instance-64,us-west2-b,false,,,,2021-09-02 23:50:35.540317 UTC,
instance-65,northamerica-northeast1-a,false,,,,2021-08-31 20:08:13.959813 UTC,
instance-66,us-central1-a,false,,,,2021-08-31 21:15:17.582054 UTC,
instance-67,northamerica-northeast1-a,false,,,,2021-08-26 15:01:19.105069 UTC,
instance-68,northamerica-northeast1-a,false,,,,,
instance-69,us-central1-c,false,,,,,
instance-03,us-west1-b,true,Pepsi,false,,2021-09-12 14:01:40.690678 UTC,5000/5000
instance-10,us-central1-a,true,doralon_mixed-hotbeverage-categories,false,,2021-09-13 11:28:26.053462 UTC,1132/5000
instance-12,us-central1-f,true,doralon_mixed-RMS-categories,,,2021-09-13 11:27:50.969387 UTC,1812/5000
instance-13,asia-east1-a,true,doralon_mixed-salty-pastry-categories,,,2021-09-13 11:26:42.280802 UTC,175/5000
instance-14,asia-east1-a,true,multi-energy-fitness,,,2021-09-13 11:29:09.871097 UTC,4211/5000
instance-15,asia-northeast1-c,true,multi-patit-extra,,,2021-09-13 11:28:36.984516 UTC,4835/5000
instance-17,us-west4-a,true,Specific-Elite-coffee,,,2021-09-13 11:28:54.955593 UTC,3110/5000
instance-20,asia-southeast1-b,true,Specific-landwer,,,2021-09-13 11:29:07.766622 UTC,3878/5000
instance-21,asia-southeast2-a,true,specific-RMS,,,2021-09-13 11:28:43.93848 UTC,2113/5000
instance-22,australia-southeast1-c,true,Island,,,2021-09-12 13:18:49.594948 UTC,4708/5000
instance-23,southamerica-east1-c,true,Jumex-isotonic-juices,,,2021-09-12 13:48:48.333637 UTC,4981/5000
instance-29,europe-west3-b,true,multi-on-the-go-juice,,,2021-09-12 13:52:27.685536 UTC,5000/5000
instance-36,asia-southeast1-b,true,XL,,,2021-09-12 13:45:47.427822 UTC,5000/5000
instance-39,australia-southeast1-c,true,mapped-to-one-pg-shelves,,,2021-09-13 11:28:59.76732 UTC,2777/5000
